id,name,type,industry
IP_5f4ce03bc8f4c0de692c98350a4d249dea7bbcc3bb1c6add94c03a4ee725e03f,45.43.xxx.xxx,IP,[]
Domain_82789d42a294e7f66e90ad31119f98b7ff173ad18b9db1d2e0c22d6131f6b497,82789d42a2.com,Domain,['A']
Domain_8ed6ddae4147271dee34bdf05139bff5ec711ef1eb9c9e2b6c14add7d74c739c,8ed6ddae41.com,Domain,['A']
Domain_82bf1e9944f7366a94e5a438c1c847e84e1278c4c85dd7f13f9d55ef2a5ef190,82bf1e9944.com,Domain,[]
IP_ba14382ff539bde84e00a94020642df8b11eca6caa029d32217afc4ab8e0cfbf,160.121.xxx.xxx,IP,[]
Domain_44f229941260ef61fbdbeb103f3df3cc3c5b264fc4955d215b8642f038ffb6b6,44f2299412.com,Domain,['B']
Domain_4798146af4c5650c902a4f2a90ad02a6637de6da8b7073b394738f6b4685cd1a,4798146af4.com,Domain,[]
Domain_5bcb27fe7e8425c0ffa719a6d2eb3cee00366304be6bfc5bad70a9e9add8fe4b,5bcb27fe7e.com,Domain,[]
Domain_00fa5adf341088cf3a3866b65add55b5cb354f6823f4fe6dd80926df199f6e50,00fa5adf34.com,Domain,['B']
Domain_f5dc1695c2263fd819da9b7083fea49cab22311f00b5a3d5ef2b80af081472af,f5dc1695c2.com,Domain,[]
Domain_d2f3997353d297bdc978a0b19d966d76c10c762aebb0599ac2e436525c2ec3bd,d2f3997353.com,Domain,['B']
Domain_6a39b27540a0cd486c47ad8bb006f5edc0ce8e6f5e4dfd22e5206c6a1c89fabe,6a39b27540.com,Domain,['B']
Domain_c91af40e17f1e55bb2126fc8815bb376a07551ec66c87042521fa44de50f204b,c91af40e17.com,Domain,"['G', 'B']"
Domain_8029e3690c75983a5be8ff370685a637aafebf72aa539ec650ef19eb05b472f4,8029e3690c.com,Domain,['B']
Domain_3273ef0009aa3587d37f69242990429ec37dd60cb02dc11ffbe460d2806413d1,3273ef0009.com,Domain,['B']
Domain_11a2f87e3ed25ab2b456f317620bffc53d30878300ba441b26d6c5eec2f17321,11a2f87e3e.com,Domain,['B']
Domain_25ae74649f6aab27963116a4e80e6f7c63888a0c038182156a3c8c579eae22c3,25ae74649f.com,Domain,['G']
Domain_0d13a6b0131c0258725d415c37098e1987683a1ca995160d9f86bef8b7bb9aab,0d13a6b013.com,Domain,['B']
Domain_3ec838145226f754eb79cf66f4b0d4bf996821194ebf38c469d62a9281cb7d46,3ec8381452.com,Domain,['B']
Domain_bbb28a7b5daac63932d1c061f6a8b0bcb637ccae37f8dfb788f5bd9cedcacbe5,bbb28a7b5d.com,Domain,['B']
Domain_5a99bbb01217856b186fe8c7030ba5d45682f0e51484710aafdf7902dd10e32a,5a99bbb012.com,Domain,['B']
Domain_eee2e96849d5642f861d147ca48f9be9e23bc8ba28d87d85e49768d769578d59,eee2e96849.com,Domain,['G']
Domain_58fb65f0c398956931b27f4d754759ad312271a703f5056e3900ab835ce09781,58fb65f0c3.com,Domain,['B']
Domain_09a9f849a3d43efd7f9deae9ca8effa06c03e842bd30350e3444f5c06902ab35,09a9f849a3.com,Domain,['B']
Domain_f18bfee9ec007015c9a654e65e3f3535ec999f027ba20efc9636a5e52501191a,f18bfee9ec.com,Domain,['B']
Domain_90c09d36c90c0baf38b2ec85186834e393a94ca779ca250670e0be3ddb2b5a39,90c09d36c9.com,Domain,['B']
Domain_dd5836b7a3760e6c1cddc6ce48843e8ec6b17d4e7fcdf29ff97fd074d8cbc798,dd5836b7a3.com,Domain,['B']
Domain_e1627983b41974c86558ab07b3b84a8dc281cb3468b67fb6654e0ee30734612b,e1627983b4.com,Domain,[]
Domain_af5dccbb897d30f8ad2278d03c4c5af92b27db9095b057877eab7a31c62cb94a,af5dccbb89.com,Domain,['B']
Domain_c8a4dd061bace1a4d0da51bb7b79006bb6ef5df326e30e2d119b1e3dbdcf8f7d,c8a4dd061b.com,Domain,['B']
Domain_b96863c8ed22f48bebefa6f5254df71d51c6e19906b35c624418a6d403edf780,b96863c8ed.com,Domain,[]
Domain_65906aade6167f8862291cd886909859cb30427503a1104b1d01103dba9eac50,65906aade6.com,Domain,[]
Domain_7b9ecc0b61e92cf3a3cb875b77af17ce4a282fdad79cfcb7b5c474d1e605a795,7b9ecc0b61.com,Domain,"['G', 'B']"
Domain_e27b8abc67feb4d164d5e58860e43e37a4e5936eb08428f4581623c764f9576d,e27b8abc67.com,Domain,['B']
Domain_8e05abc15490b3619532c79ec09c065f29cbf54ec89edfc3f5d1a75fa431effc,8e05abc154.com,Domain,['B']
Domain_aa9dcc0e4df3c1108600395457bebf150a03e042b6aba23e6f6c0ad093ea447b,aa9dcc0e4d.com,Domain,['B']
Domain_9266a37e521e9ad80aa09db4399da1c5119f60cde2b1ac3cf7f9112773fd6561,9266a37e52.com,Domain,['B']
Domain_0888ee76de8772b2a53f64f38d8b12ebaf082fa9d31ebaa0ec972865d0953d24,0888ee76de.com,Domain,"['A', 'B']"
Domain_e504f828d8e0ffd0d3ff99d9ddc917ac204ac4c13fab10ad4665fa65ec5f3bfa,e504f828d8.com,Domain,['B']
Domain_d937fce8d1e77755db41d7cf07233175c7d4cc57b12d38cffa4ed36f8e5b2ba3,d937fce8d1.com,Domain,['B']
