id,name,type,industry
ASN_4eba77aac4cf89cf4d89ac512cebbaae9c589e31878d997f02bf320085cf07e0,AS_4eba77aac4,ASN,[]
IP_CIDR_da785f6ee06ddec2805911f465e233e740f50936ac7edd2c5880df1b05019e5b,147.255.xxx.0/24,IP_C,[]
IP_c72a76b396af3cd140bd6e399f35746ff261af77dee0ef37dee6f673fe1c77d1,147.255.xxx.xxx,IP,[]
IP_9849a20a80da448af2294080e547548e4fad23b9f9ce0123bcb6d74cd3f1b180,147.255.xxx.xxx,IP,[]
IP_a8fa2897f3234235f6becd59283bb6dc269d369711313b4d72c3dda1f759b420,147.255.xxx.xxx,IP,[]
IP_2b13416ac95d7e741dca9088134caffbae30a088e5934ff36fb75fdab8784bac,147.255.xxx.xxx,IP,[]
Domain_0242c82fa1a58b2b27127b22a80c71c56d41835d1bedf309f06254b0b74fcbbe,0242c82fa1.com,Domain,['A']
Domain_ded4dc948e89d0bfcc5ed3c376996706e9c1fcbdccf72fade2728a9852ffa976,ded4dc948e.com,Domain,['A']
Domain_cfbce57a85a1ce805964eb09d65255d924f8751e4fcd0d4e5469ef5b80518926,cfbce57a85.com,Domain,[]
Domain_a54a89d031f8011b32fe7e76555a2aca8b47e3d4c7618182690c4e3e225f3e15,a54a89d031.com,Domain,['A']
Domain_322624d3c5a708ad5d457778460d451215122ce6e39353e52449dd6f86d5d2af,322624d3c5.com,Domain,['A']
Domain_6b34cd5cc965e0b7021a97d772b8e0843bb15abc13c07b190ed66b8ca1cbb276,6b34cd5cc9.com,Domain,"['G', 'B']"
Whois_Name_67856466bbd383caf126d9a34fc7a0c501189a7eb7be0e57963e87fdfb84ddf5,蔡xxxxx珊,Whois_Name,[]
